"seccion_censal","lat_centro","lon_centro"
"2807902037",40.39666862,-3.70171155
"2807902038",40.39631289,-3.70031452
"2807902039",40.39765943,-3.69887187
"2807902040",40.39659119,-3.6990206
"2807902041",40.39689512,-3.69746753
"2807902042",40.39501003,-3.69914674
"2807902043",40.39567342,-3.69717479
"2807902044",40.39448742,-3.69734439
"2807902045",40.39482969,-3.69577035
"2807902046",40.39343798,-3.69593486
"2807902047",40.39281966,-3.69934893
"2807902048",40.39076019,-3.69341767
"2807902049",40.39076872,-3.6873207
"2807902050",40.39238171,-3.69432482
"2807902051",40.39488335,-3.69215333
"2807902052",40.39541077,-3.68951393
"2807902053",40.39842104,-3.6929779
"2807902054",40.3967652,-3.69359532
"2807902055",40.39562922,-3.69370447
"2807902056",40.39557973,-3.69512255
"2807902057",40.39690953,-3.69546074
"2807902058",40.39802145,-3.69537372
"2807902059",40.39813176,-3.69696278
"2807902060",40.39895175,-3.69611539
"2807902061",40.39959196,-3.69518047
"2807902062",40.40039361,-3.69509947
"2807902063",40.40021796,-3.69756534
"2807902064",40.40147175,-3.69743579
"2807902065",40.40123651,-3.69404835
"2807902066",40.40115079,-3.68919883
"2807902067",40.40282601,-3.68960035
"2807902068",40.40232095,-3.69157116
"2807902069",40.40240208,-3.69303379
"2807902070",40.40228665,-3.69536308
"2807902071",40.40265602,-3.69895731
"2807902072",40.40434462,-3.70036373
"2807902073",40.4047731,-3.69754203
"2807902074",40.40345345,-3.69553409
"2807902075",40.40347856,-3.69218657
"2807902077",40.4045489,-3.6913625
"2807902078",40.40462982,-3.69280734
"2807902079",40.40470565,-3.69465728
"2807902080",40.40621553,-3.69577607
"2807902081",40.4060805,-3.69397043
"2807902082",40.40594108,-3.69246096
"2807902083",40.40028344,-3.68230901
"2807902085",40.40020256,-3.70716271
"2807902086",40.39877522,-3.70799355
"2807902087",40.40298077,-3.71175213
"2807902088",40.39925656,-3.7017017
"2807902089",40.40471615,-3.71462118
"2807902090",40.4052973,-3.71976238
"2807902091",40.39759169,-3.70332104
"2807902092",40.40242657,-3.70466241
"2807902093",40.38729306,-3.68773074
"2807902094",40.40457469,-3.70950467
"2807902095",40.40643109,-3.71484499
"2807902096",40.40023947,-3.70947534
"2807902097",40.39306631,-3.6912299
"2807902098",40.39625975,-3.68221665
"2807902099",40.38575963,-3.69135844
"2807902100",40.38915077,-3.69522203
"2807902101",40.39143468,-3.69046866
"2807902102",40.38501559,-3.68647404
"2807902103",40.39013222,-3.682459
"2807902104",40.38907432,-3.68973705
"2807902105",40.39623735,-3.68721897
"2807902106",40.39887584,-3.68668058
"2807903001",40.40186432,-3.67973487
"2807903002",40.40597657,-3.68402934
"2807903003",40.40649237,-3.68118256
"2807903004",40.40640542,-3.68006347
"2807903005",40.40492762,-3.68105461
"2807903006",40.40423331,-3.68245569
"2807903007",40.40451646,-3.68000672
"2807903008",40.40548447,-3.67932328
"2807903009",40.40654075,-3.67860583
"2807903010",40.40695674,-3.67688805
"2807903011",40.40594817,-3.67725192
"2807903012",40.40495159,-3.67804122
"2807903013",40.40400025,-3.67878552
"2807903014",40.40330985,-3.67739561
"2807903015",40.40439579,-3.67682967
"2807903016",40.40537983,-3.6760109
"2807903017",40.40650091,-3.67503511
"2807903018",40.4061388,-3.67369763
"2807903019",40.40568757,-3.67200973
"2807903020",40.40439771,-3.6740221
"2807903021",40.40342908,-3.67487091
"2807903022",40.40272491,-3.67624886
"2807903023",40.4021532,-3.67512887
"2807903024",40.39915279,-3.67266042
"2807903025",40.3968935,-3.67259154
"2807903026",40.39900019,-3.67013526
"2807903027",40.3999053,-3.67039052
"2807903028",40.40088248,-3.67129078
"2807903029",40.4038322,-3.67099863
"2807903030",40.40520376,-3.66959332
"2807903031",40.4075069,-3.6695084
"2807903032",40.41073035,-3.6691948
"2807903033",40.40757736,-3.66636209
"2807903034",40.40926491,-3.6674608
"2807903035",40.41142348,-3.66753954
"2807903036",40.41042353,-3.66604538
"2807903037",40.40990763,-3.66491941
"2807903038",40.41298837,-3.66270245
"2807903039",40.41259151,-3.66502892
"2807903040",40.41388885,-3.66457315
"2807903041",40.4129933,-3.6666393
"2807903042",40.4136911,-3.66841895
"2807903044",40.41551694,-3.66760431
"2807903045",40.41815725,-3.66552583
"2807903046",40.41993361,-3.66687881
"2807903047",40.41858019,-3.66823674
"2807903048",40.41954637,-3.67140663
"2807903049",40.41729331,-3.67041411
"2807903050",40.41739707,-3.67234118
"2807903051",40.41748214,-3.67392837
"2807903052",40.41644669,-3.67345001
"2807903053",40.4163576,-3.67562071
"2807903054",40.41633389,-3.67726288
"2807903055",40.41764301,-3.67709287
"2807903056",40.41755862,-3.6754875
"2807903057",40.41881055,-3.67540362
"2807903058",40.41888567,-3.67698581
"2807903059",40.41854235,-3.67834472
"2807903060",40.42003153,-3.67853795
"2807903061",40.41993913,-3.67689498
"2807903062",40.41986245,-3.67532528
"2807903063",40.41978438,-3.67375773
"2807903064",40.42083809,-3.67367618
"2807903065",40.42091064,-3.67524614
"2807903066",40.42098775,-3.67680478
"2807903067",40.42109773,-3.67867704
"2807903068",40.41410865,-3.68337237
"2807903069",40.41808019,-3.69099391
"2807903070",40.41541577,-3.69090147
"2807903071",40.41129587,-3.69073498
"2807903073",40.40768224,-3.68366025
"2807903074",40.40740719,-3.68168205
"2807903076",40.40809291,-3.68011783
"2807903077",40.40877249,-3.67730116
"2807903078",40.40839599,-3.67565357
"2807903079",40.40752712,-3.67090046
"2807903080",40.40869435,-3.67246571
"2807903081",40.41317975,-3.67180789
"2807903082",40.41049559,-3.67272248
"2807903084",40.41114841,-3.67560608
"2807903085",40.41352732,-3.67457492
"2807903086",40.41455124,-3.67594841
"2807903087",40.41563623,-3.67266083
"2807903088",40.41630132,-3.67067069
"2807903089",40.40329659,-3.68010921
"2807903090",40.41753604,-3.66333653
"2807903091",40.416318,-3.66206055
"2807903092",40.40487094,-3.66754065
"2807903093",40.41790925,-3.66390619
"2807903094",40.41162676,-3.66359974
"2807903095",40.40125428,-3.67719991
"2807903096",40.4030654,-3.68258735
"2807903097",40.39954252,-3.67467181
"2807903098",40.40203842,-3.66893782
"2807903099",40.40170642,-3.67289839
"2807904001",40.42124496,-3.69047883
"2807904002",40.42137246,-3.68724823
"2807904003",40.42189966,-3.68510005
"2807904004",40.42399186,-3.68559719
"2807904005",40.42457924,-3.68862122
"2807904006",40.4278979,-3.68796929
"2807904007",40.42650977,-3.6852029
"2807904008",40.42847231,-3.68497726
"2807904009",40.42798997,-3.68192059
"2807904010",40.42643231,-3.68335644
"2807904011",40.42612615,-3.68115437
"2807904012",40.42332337,-3.68328312
"2807904013",40.42272491,-3.68238266
"2807904014",40.42302264,-3.6810825
"2807904015",40.42312678,-3.67955979
"2807904016",40.4249834,-3.67907841
"2807904017",40.42257004,-3.6781431
"2807904018",40.42249246,-3.67667836
"2807904019",40.42412383,-3.67690475
"2807904020",40.42543978,-3.67581835
"2807904021",40.4254708,-3.67791038
"2807904023",40.42749296,-3.67921545
"2807904024",40.42810807,-3.67768377
"2807904025",40.42672639,-3.67780327
"2807904026",40.42664972,-3.67633631
"2807904027",40.42803179,-3.67621704
"2807904028",40.42795613,-3.67466231
"2807904029",40.42767384,-3.67288283
"2807904030",40.42648122,-3.67430765
"2807904031",40.42515201,-3.67368763
"2807904032",40.42515695,-3.67172393
"2807904033",40.42637813,-3.67173606
"2807904034",40.42772228,-3.67019244
"2807904035",40.42632712,-3.66967763
"2807904036",40.42506383,-3.6697893
"2807904037",40.42342741,-3.6699178
"2807904038",40.42397768,-3.67138643
"2807904039",40.424022,-3.6745442
"2807904040",40.42289737,-3.67509368
"2807904041",40.42281828,-3.67352232
"2807904042",40.42212874,-3.67190578
"2807904043",40.42176527,-3.66603756
"2807904044",40.42220719,-3.66169292
"2807904045",40.42328027,-3.66510238
"2807904046",40.42335804,-3.66788394
"2807904047",40.42455629,-3.66596529
"2807904048",40.42423384,-3.66779689
"2807904049",40.42508519,-3.66741093
"2807904050",40.42618113,-3.668129
"2807904051",40.42585239,-3.66624438
"2807904052",40.42627031,-3.66505387
"2807904053",40.42586863,-3.66227366
"2807904054",40.42707425,-3.66100352
"2807904055",40.42784945,-3.66281051
"2807904056",40.42750728,-3.66424497
"2807904057",40.42759295,-3.66731742
"2807904058",40.42861742,-3.66575045
"2807904060",40.43010711,-3.66257028
"2807904061",40.429394,-3.66697688
"2807904062",40.43010972,-3.66762056
"2807904063",40.43106682,-3.66887584
"2807904064",40.43168854,-3.66596144
"2807904065",40.43181884,-3.66929857
"2807904067",40.43301174,-3.67142256
"2807904068",40.43293341,-3.66988476
"2807904069",40.43363905,-3.66725786
"2807904070",40.43396026,-3.66508805
"2807904071",40.43307085,-3.66248331
"2807904072",40.43583872,-3.66213097
"2807904073",40.43570263,-3.66502513
"2807904074",40.43802697,-3.66082071
"2807904075",40.43749376,-3.66348378
"2807904076",40.43912154,-3.66194253
"2807904077",40.44026003,-3.6620627
"2807904078",40.44136887,-3.66195905
"2807904079",40.44208268,-3.66256139
"2807904080",40.44276371,-3.66123337
"2807904081",40.44187428,-3.66516537
"2807904082",40.44010415,-3.66354603
"2807904083",40.43892849,-3.66451452
"2807904084",40.43772939,-3.66434744
"2807904085",40.43709633,-3.66679647
"2807904086",40.43903292,-3.668582
"2807904087",40.43477112,-3.66981452
"2807904088",40.43484526,-3.6731498
"2807904089",40.4357627,-3.67200316
"2807904090",40.43644347,-3.67115881
